Categorie,Feature,Beschrijving,Fase,MoSCoW,Impact
Onboarding,AI onboarding gesprek,"Interactief gesprek dat account opzet: diensten, prijzen, bedrijfsgegevens",Fase 1 - MVP,Must,Hoog
Onboarding,Diensten configuratie,"Diensten aanmaken met naam, beschrijving, prijs (uur/vast/maand)",Fase 1 - MVP,Must,Hoog
Onboarding,Bedrijfsprofiel,"KvK, BTW-nummer, IBAN, NAW, logo upload",Fase 1 - MVP,Must,Hoog
Onboarding,Tone of voice instelling,"AI leert communicatiestijl: formeel/informeel, branche-specifiek",Fase 1 - MVP,Should,Middel
Onboarding,Import vanuit bestaande tools,Klantdata importeren uit CSV/Excel,Fase 2 - Website & Polish,Could,Laag
Onboarding,Guided tour / tooltips,Interactieve rondleiding door de app na onboarding,Fase 2 - Website & Polish,Should,Middel
AI Chat Interface,Chat interface,Primaire interface voor interactie met het systeem,Fase 1 - MVP,Must,Hoog
AI Chat Interface,Acties via chat,"Offerte sturen, factuur maken, klant aanmaken via natuurlijke taal",Fase 1 - MVP,Must,Hoog
AI Chat Interface,Context-awareness,"AI kent klanten, diensten, prijzen, historie van de gebruiker",Fase 1 - MVP,Must,Hoog
AI Chat Interface,Informatie opvragen,"""Hoeveel omzet deze maand?"", ""Welke facturen staan open?""",Fase 1 - MVP,Must,Hoog
AI Chat Interface,Suggesties & proactief,"""Je hebt Klant X al 3 maanden niet gesproken""",Fase 2 - Website & Polish,Should,Middel
AI Chat Interface,Dagelijkse briefing,"""Goedemorgen, dit staat vandaag op je planning...""",Fase 2 - Website & Polish,Should,Middel
AI Chat Interface,Bulk acties via chat,"""Stuur alle klanten met openstaande facturen een herinnering""",Fase 3 - Groei,Could,Middel
AI Chat Interface,Voice input,Spraak-naar-tekst voor chat commando's,Fase 4 - Schaal,Could,Laag
AI Chat Interface,Chat geschiedenis,Doorzoekbare historie van alle gesprekken/acties,Fase 2 - Website & Polish,Should,Middel
Klantenbeheer,Klant aanmaken/bewerken,"Naam, bedrijf, email, telefoon, adres, notities",Fase 1 - MVP,Must,Hoog
Klantenbeheer,Klantoverzicht,Lijst van alle klanten met zoek/filter,Fase 1 - MVP,Must,Hoog
Klantenbeheer,Klant detail pagina,"Alle info, historie, offertes, facturen, notities bij elkaar",Fase 1 - MVP,Must,Hoog
Klantenbeheer,Pipeline/status tracking,Lead → Offerte → Contract → Actief → Afgerond → Gefactureerd,Fase 1 - MVP,Must,Hoog
Klantenbeheer,Notities bij klant,Vrije notities toevoegen aan klantprofiel,Fase 1 - MVP,Should,Middel
Klantenbeheer,Tags/labels,"Klanten categoriseren (branche, type, etc)",Fase 2 - Website & Polish,Could,Laag
Klantenbeheer,Klant archiveren,Inactieve klanten archiveren zonder te verwijderen,Fase 2 - Website & Polish,Should,Laag
Klantenbeheer,Contactpersonen per bedrijf,Meerdere contacten per organisatie,Fase 3 - Groei,Could,Middel
Klantenbeheer,Klant self-service profiel,Klant kan eigen gegevens bijwerken,Fase 3 - Groei,Could,Laag
Klantenbeheer,KvK lookup,Bedrijfsgegevens auto-fill via KvK API,Fase 3 - Groei,Could,Middel
Booking,Publieke booking link,Deelbare link waarop klanten afspraken kunnen inplannen,Fase 1 - MVP,Must,Hoog
Booking,Beschikbaarheid instellen,"Werkdagen, tijden, pauzes configureren",Fase 1 - MVP,Must,Hoog
Booking,Afspraaktypes,"Verschillende types: intake, consult, workshop, etc met eigen duur/prijs",Fase 1 - MVP,Must,Hoog
Booking,Google Calendar sync,Twee-weg sync met Google Calendar,Fase 1 - MVP,Must,Hoog
Booking,Automatische bevestiging,Email bevestiging na boeking,Fase 1 - MVP,Must,Hoog
Booking,Automatische herinnering,Herinnering X uur voor afspraak,Fase 1 - MVP,Should,Middel
Booking,Intake formulier bij booking,"Vragen stellen bij het boeken (wat is je vraag, budget, etc)",Fase 2 - Website & Polish,Should,Middel
Booking,Buffer tijd tussen afspraken,Automatische pauze tussen meetings,Fase 2 - Website & Polish,Should,Laag
Booking,Outlook Calendar sync,Sync met Microsoft/Outlook kalender,Fase 3 - Groei,Could,Middel
Booking,Groepsbookings,Meerdere deelnemers per sessie (workshops),Fase 3 - Groei,Could,Middel
Booking,Betaalde bookings,Direct betalen bij het boeken via Mollie,Fase 2 - Website & Polish,Should,Middel
Booking,Herhalende afspraken,Wekelijks/maandelijks terugkerende bookings,Fase 3 - Groei,Could,Middel
Booking,Wachtlijst,Wachtlijst als tijdslot vol is,Fase 4 - Schaal,Could,Laag
Booking,Meerdere locaties,"Online, op locatie, bij klant - per afspraaktype",Fase 2 - Website & Polish,Could,Laag
Booking,No-show beleid,Automatische afhandeling bij niet opdagen,Fase 3 - Groei,Could,Laag
Offertes,Offerte templates,Herbruikbare templates als startpunt,Fase 1 - MVP,Must,Hoog
Offertes,AI offerte generatie,Offerte schrijven op basis van korte input/gesprek,Fase 1 - MVP,Must,Hoog
Offertes,Offerte versturen,Per email met unieke link,Fase 1 - MVP,Must,Hoog
Offertes,Online offerte bekijken,Klant bekijkt offerte via browser,Fase 1 - MVP,Must,Hoog
Offertes,Offerte accepteren,Klant kan digitaal akkoord geven,Fase 1 - MVP,Must,Hoog
Offertes,Status tracking,"Verstuurd, bekeken, geaccepteerd, afgewezen, verlopen",Fase 1 - MVP,Must,Hoog
Offertes,Automatische herinnering,Herinnering als offerte X dagen onbeantwoord,Fase 1 - MVP,Should,Middel
Offertes,Offerte dupliceren,Bestaande offerte kopiëren als basis voor nieuwe,Fase 2 - Website & Polish,Should,Laag
Offertes,Meerdere diensten per offerte,Offerte met meerdere regels/opties,Fase 1 - MVP,Must,Middel
Offertes,Optionele regels,Klant kan optionele items aan/uit zetten,Fase 2 - Website & Polish,Could,Middel
Offertes,Geldigheid instellen,Offerte geldig tot datum X,Fase 1 - MVP,Should,Laag
Offertes,PDF export,Offerte downloaden als PDF,Fase 2 - Website & Polish,Should,Middel
Offertes,Offerte versies,Bijhouden van wijzigingen/versies,Fase 3 - Groei,Could,Laag
Offertes,Bekijk-notificatie,Notificatie wanneer klant offerte opent,Fase 2 - Website & Polish,Should,Middel
Contracten,Contract templates,Juridisch correcte NL templates,Fase 1 - MVP,Must,Hoog
Contracten,Auto-fill vanuit offerte,Contract data automatisch overnemen uit geaccepteerde offerte,Fase 1 - MVP,Must,Hoog
Contracten,E-signing,"Digitale handtekening, rechtsgeldig",Fase 1 - MVP,Must,Hoog
Contracten,Contract versturen,Per email met unieke link,Fase 1 - MVP,Must,Hoog
Contracten,Status tracking,"Verstuurd, bekeken, getekend",Fase 1 - MVP,Must,Hoog
Contracten,Automatische herinnering,Herinnering als contract niet getekend,Fase 1 - MVP,Should,Middel
Contracten,AI contract generatie,Contract tekst genereren op basis van context,Fase 2 - Website & Polish,Should,Middel
Contracten,Algemene voorwaarden bijvoegen,AV als bijlage meesturen,Fase 2 - Website & Polish,Should,Middel
Contracten,PDF export,Getekend contract downloaden als PDF,Fase 2 - Website & Polish,Should,Middel
Contracten,Contract archief,Alle contracten doorzoekbaar bewaard,Fase 2 - Website & Polish,Should,Laag
Contracten,Meerdere ondertekenaars,Contract door meerdere partijen laten tekenen,Fase 3 - Groei,Could,Middel
Contracten,Contractverlenging,Automatisch verlengen of herinnering bij afloop,Fase 3 - Groei,Could,Middel
Facturatie,Factuur templates,NL-conforme factuur templates,Fase 1 - MVP,Must,Hoog
Facturatie,Factuur genereren,Handmatig of automatisch vanuit project/contract,Fase 1 - MVP,Must,Hoog
Facturatie,AI factuur generatie,"Factuur maken via chat: ""factureer project X""",Fase 1 - MVP,Must,Hoog
Facturatie,Factuurnummering,"Automatisch opvolgend, configureerbaar format",Fase 1 - MVP,Must,Hoog
Facturatie,BTW berekening,"21%, 9%, 0%, verlegd - automatisch",Fase 1 - MVP,Must,Hoog
Facturatie,Factuur versturen,Per email met betaallink,Fase 1 - MVP,Must,Hoog
Facturatie,Mollie integratie,"iDEAL, creditcard, Bancontact",Fase 1 - MVP,Must,Hoog
Facturatie,Betalingsherinnering,Automatisch na verlopen betalingstermijn,Fase 1 - MVP,Must,Hoog
Facturatie,Status tracking,"Concept, verstuurd, bekeken, betaald, te laat",Fase 1 - MVP,Must,Hoog
Facturatie,Betalingstermijn,Instelbaar per klant of standaard (14/30/60 dagen),Fase 1 - MVP,Should,Middel
Facturatie,PDF export,Factuur als PDF downloaden,Fase 1 - MVP,Should,Middel
Facturatie,Creditnota,Credit factuur aanmaken,Fase 2 - Website & Polish,Should,Middel
Facturatie,Deelfacturatie,Factuur in termijnen splitsen,Fase 2 - Website & Polish,Should,Middel
Facturatie,Terugkerende facturen,Maandelijks automatisch factureren,Fase 2 - Website & Polish,Should,Hoog
